close,rec_date,volume,name,symbol
80.3899993900,2016-10-25,1688700,AmerisourceBergen Corporation,ABC
79.3700027500,2016-10-26,2134600,AmerisourceBergen Corporation,ABC
79.5000000000,2016-10-27,1595100,AmerisourceBergen Corporation,ABC
69.1399993900,2016-10-28,9767100,AmerisourceBergen Corporation,ABC
70.3199996900,2016-10-31,4437000,AmerisourceBergen Corporation,ABC
69.7900009200,2016-11-01,4264200,AmerisourceBergen Corporation,ABC
75.9599990800,2016-11-02,6161100,AmerisourceBergen Corporation,ABC
72.3199996900,2016-11-03,7258600,AmerisourceBergen Corporation,ABC
70.4700012200,2016-11-04,4999800,AmerisourceBergen Corporation,ABC
71.9300003100,2016-11-07,3629500,AmerisourceBergen Corporation,ABC
69.0299987800,2016-11-08,4787000,AmerisourceBergen Corporation,ABC
75.6100006100,2016-11-09,5516300,AmerisourceBergen Corporation,ABC
79.5899963400,2016-11-10,4612200,AmerisourceBergen Corporation,ABC
78.9199981700,2016-11-11,5221500,AmerisourceBergen Corporation,ABC
81.3300018300,2016-11-14,4404200,AmerisourceBergen Corporation,ABC
79.5299987800,2016-11-15,4285600,AmerisourceBergen Corporation,ABC
78.8600006100,2016-11-16,2962300,AmerisourceBergen Corporation,ABC
80.1600036600,2016-11-17,3045700,AmerisourceBergen Corporation,ABC
79.2099990800,2016-11-18,3644000,AmerisourceBergen Corporation,ABC
78.4499969500,2016-11-21,2607500,AmerisourceBergen Corporation,ABC
78.4100036600,2016-11-22,1910400,AmerisourceBergen Corporation,ABC
78.6999969500,2016-11-23,1324600,AmerisourceBergen Corporation,ABC
78.5699996900,2016-11-25,1159000,AmerisourceBergen Corporation,ABC
79.0500030500,2016-11-28,2124600,AmerisourceBergen Corporation,ABC
77.6299972500,2016-11-29,2493700,AmerisourceBergen Corporation,ABC
77.9899978600,2016-11-30,5158900,AmerisourceBergen Corporation,ABC
77.8000030500,2016-12-01,1505600,AmerisourceBergen Corporation,ABC
78.8000030500,2016-12-02,1733300,AmerisourceBergen Corporation,ABC
79.5400009200,2016-12-05,2611200,AmerisourceBergen Corporation,ABC
78.8700027500,2016-12-06,2374800,AmerisourceBergen Corporation,ABC
76.3799972500,2016-12-07,4493500,AmerisourceBergen Corporation,ABC
76.8799972500,2016-12-08,2567200,AmerisourceBergen Corporation,ABC
78.9000015300,2016-12-09,1790900,AmerisourceBergen Corporation,ABC
78.0699996900,2016-12-12,1730300,AmerisourceBergen Corporation,ABC
79.0400009200,2016-12-13,1329600,AmerisourceBergen Corporation,ABC
77.0500030500,2016-12-14,2282100,AmerisourceBergen Corporation,ABC
76.6699981700,2016-12-15,2174600,AmerisourceBergen Corporation,ABC
77.3799972500,2016-12-16,3635100,AmerisourceBergen Corporation,ABC
78.4199981700,2016-12-19,1816300,AmerisourceBergen Corporation,ABC
79.3000030500,2016-12-20,2934200,AmerisourceBergen Corporation,ABC
78.8499984700,2016-12-21,1355800,AmerisourceBergen Corporation,ABC
77.8099975600,2016-12-22,1881800,AmerisourceBergen Corporation,ABC
78.5599975600,2016-12-23,596600,AmerisourceBergen Corporation,ABC
78.8199996900,2016-12-27,655200,AmerisourceBergen Corporation,ABC
78.3499984700,2016-12-28,862100,AmerisourceBergen Corporation,ABC
79.3399963400,2016-12-29,1014800,AmerisourceBergen Corporation,ABC
78.1900024400,2016-12-30,1409000,AmerisourceBergen Corporation,ABC
82.6100006100,2017-01-03,4134200,AmerisourceBergen Corporation,ABC
84.6600036600,2017-01-04,2561900,AmerisourceBergen Corporation,ABC
83.6800003100,2017-01-05,2136200,AmerisourceBergen Corporation,ABC
84.8000030500,2017-01-06,2132000,AmerisourceBergen Corporation,ABC
85.4800033600,2017-01-09,2081600,AmerisourceBergen Corporation,ABC
84.8300018300,2017-01-10,1860900,AmerisourceBergen Corporation,ABC
81.5299987800,2017-01-11,3994900,AmerisourceBergen Corporation,ABC
83.8600006100,2017-01-12,2771200,AmerisourceBergen Corporation,ABC
84.6200027500,2017-01-13,1397900,AmerisourceBergen Corporation,ABC
85.9899978600,2017-01-17,2103000,AmerisourceBergen Corporation,ABC
85.5100021400,2017-01-18,2094000,AmerisourceBergen Corporation,ABC
85.4700012200,2017-01-19,1574500,AmerisourceBergen Corporation,ABC
83.7500000000,2017-01-20,3780100,AmerisourceBergen Corporation,ABC
84.8799972500,2017-01-23,1420100,AmerisourceBergen Corporation,ABC
84.4100036600,2017-01-24,1513500,AmerisourceBergen Corporation,ABC
85.8300018300,2017-01-25,1858200,AmerisourceBergen Corporation,ABC
83.3899993900,2017-01-26,3482900,AmerisourceBergen Corporation,ABC
82.4300003100,2017-01-27,1865400,AmerisourceBergen Corporation,ABC
83.6200027500,2017-01-30,2650000,AmerisourceBergen Corporation,ABC
87.2799987800,2017-01-31,5827300,AmerisourceBergen Corporation,ABC
88.6100006100,2017-02-01,3362000,AmerisourceBergen Corporation,ABC
88.0500030500,2017-02-02,3836300,AmerisourceBergen Corporation,ABC
89.2799987800,2017-02-03,2990300,AmerisourceBergen Corporation,ABC
89.9800033600,2017-02-06,2869800,AmerisourceBergen Corporation,ABC
90.3300018300,2017-02-07,2108500,AmerisourceBergen Corporation,ABC
91.0699996900,2017-02-08,1469800,AmerisourceBergen Corporation,ABC
91.6500015300,2017-02-09,1630300,AmerisourceBergen Corporation,ABC
91.1699981700,2017-02-10,1527300,AmerisourceBergen Corporation,ABC
90.4800033600,2017-02-13,3037800,AmerisourceBergen Corporation,ABC
90.8199996900,2017-02-14,2066300,AmerisourceBergen Corporation,ABC
91.1800003100,2017-02-15,1944700,AmerisourceBergen Corporation,ABC
90.3199996900,2017-02-16,2282900,AmerisourceBergen Corporation,ABC
90.7600021400,2017-02-17,1441200,AmerisourceBergen Corporation,ABC
91.0100021400,2017-02-21,2061200,AmerisourceBergen Corporation,ABC
91.3399963400,2017-02-22,1152900,AmerisourceBergen Corporation,ABC
91.6100006100,2017-02-23,2169800,AmerisourceBergen Corporation,ABC
92.1600036600,2017-02-24,1001700,AmerisourceBergen Corporation,ABC
91.7300033600,2017-02-27,1139600,AmerisourceBergen Corporation,ABC
91.5100021400,2017-02-28,1915500,AmerisourceBergen Corporation,ABC
92.2300033600,2017-03-01,1393700,AmerisourceBergen Corporation,ABC
91.9400024400,2017-03-02,1438400,AmerisourceBergen Corporation,ABC
92.2300033600,2017-03-03,1405300,AmerisourceBergen Corporation,ABC
89.9899978600,2017-03-06,1808000,AmerisourceBergen Corporation,ABC
88.4800033600,2017-03-07,2612100,AmerisourceBergen Corporation,ABC
89.0800018300,2017-03-08,1847600,AmerisourceBergen Corporation,ABC
88.6100006100,2017-03-09,1125700,AmerisourceBergen Corporation,ABC
88.3099975600,2017-03-10,1545600,AmerisourceBergen Corporation,ABC
89.1399993900,2017-03-13,1673900,AmerisourceBergen Corporation,ABC
88.8099975600,2017-03-14,1243500,AmerisourceBergen Corporation,ABC
89.4800033600,2017-03-15,1800400,AmerisourceBergen Corporation,ABC
88.0000000000,2017-03-16,1520000,AmerisourceBergen Corporation,ABC
87.5299987800,2017-03-17,2296100,AmerisourceBergen Corporation,ABC
86.9100036600,2017-03-20,1618700,AmerisourceBergen Corporation,ABC
85.9100036600,2017-03-21,1988800,AmerisourceBergen Corporation,ABC
85.8799972500,2017-03-22,1189700,AmerisourceBergen Corporation,ABC
85.9899978600,2017-03-23,1440200,AmerisourceBergen Corporation,ABC
86.5599975600,2017-03-24,1241000,AmerisourceBergen Corporation,ABC
87.4800033600,2017-03-27,1558600,AmerisourceBergen Corporation,ABC
87.5000000000,2017-03-28,1199900,AmerisourceBergen Corporation,ABC
89.5100021400,2017-03-29,2280700,AmerisourceBergen Corporation,ABC
89.1399993900,2017-03-30,1395000,AmerisourceBergen Corporation,ABC
88.5000000000,2017-03-31,1793100,AmerisourceBergen Corporation,ABC
87.3300018300,2017-04-03,1379300,AmerisourceBergen Corporation,ABC
86.9300003100,2017-04-04,1372300,AmerisourceBergen Corporation,ABC
87.1800003100,2017-04-05,1187100,AmerisourceBergen Corporation,ABC
87.6399993900,2017-04-06,1586000,AmerisourceBergen Corporation,ABC
87.6200027500,2017-04-07,933400,AmerisourceBergen Corporation,ABC
88.4400024400,2017-04-10,1007800,AmerisourceBergen Corporation,ABC
87.8700027500,2017-04-11,1449600,AmerisourceBergen Corporation,ABC
86.8199996900,2017-04-12,1887700,AmerisourceBergen Corporation,ABC
86.6699981700,2017-04-13,787500,AmerisourceBergen Corporation,ABC
86.6399993900,2017-04-17,1284400,AmerisourceBergen Corporation,ABC
82.5599975600,2017-04-18,4384100,AmerisourceBergen Corporation,ABC
81.8499984700,2017-04-19,1904900,AmerisourceBergen Corporation,ABC
82.3700027500,2017-04-20,2058600,AmerisourceBergen Corporation,ABC
81.2600021400,2017-04-21,1138900,AmerisourceBergen Corporation,ABC
80.9400024400,2017-04-24,2300100,AmerisourceBergen Corporation,ABC
81.4899978600,2017-04-25,1988100,AmerisourceBergen Corporation,ABC
81.2500000000,2017-04-26,1219400,AmerisourceBergen Corporation,ABC
82.1200027500,2017-04-27,1671200,AmerisourceBergen Corporation,ABC
82.0500030500,2017-04-28,1476200,AmerisourceBergen Corporation,ABC
82.4899978600,2017-05-01,1708800,AmerisourceBergen Corporation,ABC
82.6600036600,2017-05-02,1825600,AmerisourceBergen Corporation,ABC
82.6699981700,2017-05-03,2920300,AmerisourceBergen Corporation,ABC
86.5299987800,2017-05-04,3767600,AmerisourceBergen Corporation,ABC
85.8899993900,2017-05-05,1707300,AmerisourceBergen Corporation,ABC
86.5899963400,2017-05-08,1791300,AmerisourceBergen Corporation,ABC
87.5400009200,2017-05-09,1923600,AmerisourceBergen Corporation,ABC
88.1399993900,2017-05-10,1297300,AmerisourceBergen Corporation,ABC
88.8600006100,2017-05-11,2145800,AmerisourceBergen Corporation,ABC
88.7500000000,2017-05-12,1202100,AmerisourceBergen Corporation,ABC
89.9199981700,2017-05-15,2107500,AmerisourceBergen Corporation,ABC
89.1200027500,2017-05-16,1273200,AmerisourceBergen Corporation,ABC
86.2799987800,2017-05-17,1797000,AmerisourceBergen Corporation,ABC
86.6900024400,2017-05-18,1152100,AmerisourceBergen Corporation,ABC
89.1600036600,2017-05-19,1812800,AmerisourceBergen Corporation,ABC
